Colony	Resistance			
1	2			
2	0			
3	0			
4	1			
4	2			
4	3			
4	4			
5	1			
5	2			
5	3			
5	4			
6	1			
7	1			
7	2			
7	3			
7	4			
9	1			
8	0			
9	2			
9	3			
9	4			
10	0			
11	0			
12	0			
13	0			
14	0			
15	0			
16	1			
17	1			
17	2			
17	3			
17	4			
18	3			
19	3			
20	1			
20	2			
20	3			
20	4			
21	4			
22	1			
22	3			
22	4			
23	1			
23	2			
23	3			
23	4			
24	1			
24	2			
24	3			
24	4			
25	1			
25	2			
25	3			
25	4			
26	1			
26	2			
26	3			
26	4			
27	1			
27	2			
27	3			
27	4			
28	1			
28	2			
28	3			
28	4			
29	1			
29	3			
29	4			
30	1			
30	2			
30	3			
30	4			
31	1			
31	2			
31	3			
31	4			
32	1			
32	2			
32	3			
32	4			
33	3			
33	4			
34	1			
34	2			
34	3			
34	4			
35	1			
35	4			
36	2			
36	3			
36	4			
37	1			
37	2			
37	4			
38	1			
38	2			
38	3			
38	4			
39	1			
39	4			
40	1			
40	2			
40	4			
41	3			
41	4			
42	1			
42	3			
43	0			
44	1			
44	2			
45	2			
45	3			
45	4			
46	1			
46	3			
46	4			
